userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
2.0,5.0,31.0,1346.0,2030.0,618.0,0.9,66.0,47.0,2145.0,888.0,9930.0,6.58,7.0,0.17,0.0,0.0
2.0,6.0,1.0,1788.0,1892.0,97.0,0.93,3.0,1.0,2419.0,1230.0,10797.0,7.16,4.0,0.37,0.0,0.0
2.0,6.0,2.0,998.0,1155.0,143.0,0.91,14.0,1.0,2177.0,922.0,6783.0,4.5,0.0,0.17,1.0,130.0
2.0,6.0,3.0,1498.0,1893.0,357.0,0.9,38.0,17.0,2067.0,803.0,6082.0,4.03,1.0,0.17,1.0,82.0
3.0,4.0,23.0,1460.0,2076.0,539.0,0.88,77.0,24.0,1733.0,61.0,351.0,0.24,0.0,0.02,0.0,0.0
3.0,4.0,24.0,1546.0,1945.0,365.0,0.91,34.0,16.0,1835.0,176.0,1247.0,0.86,0.0,0.08,0.0,0.0
3.0,4.0,25.0,1441.0,1930.0,424.0,0.87,65.0,25.0,2121.0,595.0,12530.0,9.23,10.0,0.16,0.0,0.0
3.0,4.0,26.0,1519.0,1951.0,385.0,0.89,47.0,20.0,2169.0,715.0,9751.0,6.76,8.0,0.23,0.0,0.0
3.0,4.0,27.0,1454.0,1858.0,323.0,0.8,81.0,17.0,1881.0,256.0,4788.0,3.37,3.0,0.07,0.0,0.0
3.0,4.0,28.0,1610.0,1975.0,330.0,0.9,35.0,15.0,2296.0,997.0,18169.0,12.63,63.0,0.35,0.0,0.0
3.0,4.0,29.0,1511.0,2003.0,438.0,0.89,54.0,20.0,2076.0,517.0,6263.0,4.42,1.0,0.14,0.0,0.0
3.0,4.0,30.0,1484.0,2020.0,466.0,0.87,70.0,24.0,1707.0,13.0,27.0,0.02,0.0,0.01,0.0,0.0
3.0,5.0,1.0,1457.0,2009.0,490.0,0.89,62.0,28.0,1739.0,24.0,96.0,0.07,0.0,0.01,0.0,0.0
